route_id,route_short_name,route_long_name,route_type
6__147___,147,CALLAO-BARRIO DEL PILAR,mode_3
6__148___,148,CALLAO-PUENTE VALLECAS,mode_3
6__149___,149,TRIBUNAL-PLAZA CASTILLA,mode_3
6__150___,150,SOL/SEVILLA-VIRGEN CORTIJO,mode_3
6__151___,151,CANILLEJAS-BARAJAS,mode_3
6__152___,152,FELIPE II-MENDEZ ALVARO,mode_3
6__153___,153,LAS ROSAS-MAR DE CRISTAL,mode_3
6__155___,155,PLAZA ELIPTICA-ALUCHE,mode_3
6__156___,156,MANUEL BECERRA-LEGAZPI,mode_3
6__159___,159,ALSACIA-EL CAÑAVERAL,mode_3
6__160___,160,MONCLOA-ARAVACA,mode_3
6__161___,161,MONCLOA-ARAVACA SUR,mode_3
6__162___,162,MONCLOA-EL BARRIAL,mode_3
6__163___,163,ESTACION DE ARAVACA-EL PLANTIO,mode_3
6__165___,165,ALSACIA-HOSPITAL RAMON Y CAJAL,mode_3
6__166___,166,BARAJAS-HOSPITAL RAMON Y CAJAL,mode_3
6__167___,167,ALSACIA-FIN DE SEMANA,mode_3
6__170___,170,ARROYO FRESNO-SANCHINARRO,mode_3
6__171___,171,MAR DE CRISTAL-VALDEBEBAS,mode_3
6__172___,172,MAR DE CRISTAL-TELEFONICA,mode_3
6__173___,173,PLAZA CASTILLA-SANCHINARRO,mode_3
6__174___,174,PLAZA CASTILLA-VALDEBEBAS,mode_3
6__175___,175,PZA.CASTILLA-LAS TABLAS NORTE,mode_3
6__176___,176,PLAZA CASTILLA-LAS TABLAS SUR,mode_3
6__177___,177,PLAZA CASTILLA-MQUES.DE VIANA,mode_3
6__178___,178,PLAZA CASTILLA-MONTECARMELO,mode_3
6__180___,180,LEGAZPI-CAJA MAGICA,mode_3
6__200___,200,AVENIDA AMERICA-AEROPUERTO,mode_3
6__203___,203,ESTACION DE ATOCHA-AEROPUERTO,mode_3
6__210___,210,DIEGO DE LEON-LA ELIPA,mode_3
6__215___,215,FELIPE II-PARQUE ROMA,mode_3
6__247___,247,ATOCHA-SAN JOSE OBRERO,mode_3
6__310___,310,PACIFICO-ESTACION EL POZO,mode_3
6__001___,001,ESTACION DE ATOCHA-MONCLOA,mode_3
6__002___,002,PUERTA TOLEDO-ARGÜELLES,mode_3
6__A___,A,MONCLOSOMOSAGUAS,mode_3
6__C03___,C03,PUERTA TOLEDO-ARGÜELLES,mode_3
6__C1___,C1,CIRCULAR 1,mode_3
6__C2___,C2,CIRCULAR 2,mode_3
6__E___,E,CONDE CASAL-SIERRA GUADALUPE,mode_3
6__E1___,E1,CIBELES-LA PESETA,mode_3
6__E2___,E2,FELIPE II-LAS ROSAS,mode_3
6__E3___,E3,FELIPE II-VALDERRIVAS,mode_3
6__E4___,E4,FELIPE II-VALDEBERNARDO,mode_3
6__E5___,E5,MANUEL BECERRA-EL CAÑAVERAL,mode_3
6__F___,F,CUATRO CAMINOS-C.UNIVERSITARIA,mode_3
6__G___,G,MONCLOA-CIUDAD UNIVERSITARIA,mode_3
6__H___,H,ALUCHE-SOMOSAGUAS,mode_3
6__H1___,H1,SIERRA GUADALUPE-H.I.LEONOR,mode_3
6__M1___,M1,SOL/SEVILLA-EMBAJADORES,mode_3
6__SE702___,SE702,PLAZA ELIPTICA-CEMENTERIO SUR,mode_3
6__SE704___,SE704,PLAZA CASTILLA-CMTº FUENCARRAL,mode_3
6__SE709___,SE709,FERIA DE MADRID-H. I. ZENDAL,mode_3
6__SE712___,SE712,SOL/SEVILLA-PUERTA DE TOLEDO,mode_3
6__SE718___,SE718,PUERTA ARGANDA-CAÑADA REAL,mode_3
6__SE721___,SE721,CANILLEJAS-METROPOLITANO,mode_3
6__SE727___,SE727,C.S.VILLAAMIL-C.S.CASTROVIEJO,mode_3
6__SE744___,SE744,CANILLEJAS-REJAS,mode_3
6__T11___,T11,MAR DE CRISTAL-CRISTALIA,mode_3
6__T23___,T23,PUERTA ARGANDA-P.IND.VICALVARO,mode_3
6__T31___,T31,EST.EL POZO-SIERRA GUADALUPE,mode_3
6__T32___,T32,LEGAZPI-MERCAMADRID,mode_3
6__T41___,T41,VILLAVERDE ALTO-P.I.LA RESINA,mode_3
6__T61___,T61,ESTACION FUENCARRAL-LAS TABLAS,mode_3
6__T62___,T62,PLAZA CASTILLA-CHAMARTIN,mode_3
6__U___,U,AVENIDA SENECA-PARANINFO,mode_3
8__151___,151,MADRID (Plaza de Castilla) - ALCOBENDAS,mode_3
8__152_C__,152C,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (Dehesa Vieja),mode_3
8__153___,153,MADRID (Plaza de Castilla)-ALCOBENDAS-ROSA LUXEMBURGO,mode_3
8__154___,154,MADRID (Chamartín)-S.S. REYES CIRCULAR (Por Fuencarral),mode_3
8__154_C__,154C,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (Avda. de los Quiñones),mode_3
8__155___,155,MADRID (Plaza de Castilla)-EL SOTO DE LA MORALEJA,mode_3
8__155_B__,155B,MADRID (Plaza de Castilla)-EL ENCINAR DE LOS REYES,mode_3
8__156___,156,MADRID (Plaza de Castilla)-S.S. DE LOS REYES (P.I. Moscatelares),mode_3
8__157___,157,MADRID (Plaza de Castilla)-ALCOBENDAS (P.Chopera),mode_3
8__157_C__,157C,MADRID (Plaza de Castilla)-ALCOBENDAS (Valdelasfuentes),mode_3
